round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2011-12,2011,muslim,rural,male,12378,82.09,80.39,2.08,10.36
2011-12,2011,muslim,urban,all,21333,48.94,47.05,3.87,27.95
2011-12,2011,muslim,urban,female,10548,15.46,14.77,4.45,25.29
2011-12,2011,muslim,urban,male,10785,80.29,77.27,3.76,28.43
2011-12,2011,other,all,all,3117,63.46,62.17,2.04,9.78
2011-12,2011,other,all,female,1540,47.85,47.69,0.34,7.61
2011-12,2011,other,all,male,1577,79.65,77.19,3.09,11.17
2011-12,2011,other,rural,all,2156,67.53,66.38,1.71,3.82
2011-12,2011,other,rural,female,1070,54.86,54.73,0.24,3.35
2011-12,2011,other,rural,male,1086,80.47,78.27,2.73,4.16
2011-12,2011,other,urban,all,961,46.07,44.18,4.09,48.08
2011-12,2011,other,urban,female,470,19.03,18.75,1.47,58.86
2011-12,2011,other,urban,male,491,76.00,72.34,4.82,44.99
2011-12,2011,sikh,all,all,7638,53.83,52.84,1.83,19.42
2011-12,2011,sikh,all,female,3729,29.34,28.78,1.89,12.09
2011-12,2011,sikh,all,male,3909,77.16,75.77,1.81,22.08
2011-12,2011,sikh,rural,all,5013,56.81,56.09,1.26,13.04
2011-12,2011,sikh,rural,female,2442,33.88,33.45,1.27,6.27
2011-12,2011,sikh,rural,male,2571,78.65,77.65,1.26,15.81
2011-12,2011,sikh,urban,all,2625,45.33,43.58,3.86,42.86
2011-12,2011,sikh,urban,female,1287,16.38,15.48,5.53,47.91
2011-12,2011,sikh,urban,male,1338,72.94,70.39,3.50,41.80
