scope,state_code,religion,residence,mpce_rs,n_households
state,30,all,all,8157.62,720
state,30,all,urban,8762.19,360
state,30,all,rural,7310.31,360
state,31,muslim,all,6094.93,571
state,31,muslim,urban,5881.47,335
state,31,muslim,rural,6654.33,236
state,31,hindu,all,8705.83,30
state,31,hindu,urban,8783.85,18
state,31,hindu,rural,8410.55,12
state,31,all,all,6160.63,605
state,31,all,urban,5964.02,356
state,31,all,rural,6680.97,249
state,32,muslim,all,6002.13,1704
state,32,muslim,urban,6621.08,845
state,32,muslim,rural,5422.30,859
state,32,hindu,all,7108.23,4352
state,32,hindu,urban,7820.51,2192
state,32,hindu,rural,6303.95,2160
state,32,all,all,6998.60,7400
state,32,all,urban,7667.04,3517
state,32,all,rural,6348.13,3883
state,33,muslim,all,6875.29,687
state,33,muslim,urban,7211.27,537
state,33,muslim,rural,5689.68,150
state,33,hindu,all,6312.54,12980
state,33,hindu,urban,7486.53,5938
state,33,hindu,rural,5409.33,7042
state,33,all,all,6379.52,14492
state,33,all,urban,7495.06,7008
state,33,all,rural,5412.67,7484
state,34,muslim,all,7128.12,24
state,34,muslim,urban,7176.99,23
state,34,muslim,rural,5499.25,1
state,34,hindu,all,7574.54,977
state,34,hindu,urban,7816.43,638
state,34,hindu,rural,7113.38,339
state,34,all,all,7540.44,1077
state,34,all,urban,7769.37,718
state,34,all,rural,7074.74,359
state,35,muslim,all,8970.43,79
state,35,muslim,urban,9651.71,41
state,35,muslim,rural,8017.30,38
state,35,hindu,all,9205.98,740
state,35,hindu,urban,10781.56,269
state,35,hindu,rural,8155.97,471
state,35,all,all,8777.21,1000
state,35,all,urban,10243.36,359
state,35,all,rural,7776.44,641
state,36,muslim,all,6307.77,806
state,36,muslim,urban,6632.38,644
state,36,muslim,rural,5058.67,162
state,36,hindu,all,6711.79,5810
state,36,hindu,urban,8799.24,2488
state,36,hindu,rural,5405.65,3322
state,36,all,all,6646.92,6786
state,36,all,urban,8290.95,3215
state,36,all,rural,5372.65,3571
state,37,muslim,all,4370.15,413
state,37,muslim,urban,5742.14,156
state,37,muslim,rural,4186.41,257
state,37,hindu,all,6868.19,19
state,37,hindu,urban,6868.19,19
state,37,all,all,4626.41,720
state,37,all,urban,6658.50,360
state,37,all,rural,4249.54,360
