source_id,source_document,source_sha256_prefix,extraction_run,row_type,year,geography,communal_incidents,page,report_year
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Mizoram,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Nagaland,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Odisha,44,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Punjab,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Rajasthan,1,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Sikkim,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Tamil Nadu,6,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Telangana,2,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Tripura,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Uttar Pradesh,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Uttarakhand,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,West Bengal,1,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,subtotal_2023,2023,TOTAL STATE(S),265,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,A&N Islands,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Chandigarh,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Delhi,7,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Jammu & Kashmir,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Ladakh,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Lakshadweep,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2023,2023,Puducherry,0,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,subtotal_2023,2023,TOTAL UT(S),7,67,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,subtotal_2023,2023,TOTAL ALL INDIA,272,67,2023
