source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,indicator,age_cohort,residence,sex,value
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,urban,person,36.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,total,male,54.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,total,female,21.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,LFPR,all_age,total,person,38.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,rural,male,79.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,rural,female,35.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,rural,person,56.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,urban,male,75.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,urban,female,18.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,urban,person,47.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,total,male,78.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,total,female,29.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,15plus,total,person,53.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,rural,male,52.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,rural,female,24.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,rural,person,38.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,urban,male,54.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,urban,female,13.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,urban,person,34.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,total,male,53.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,total,female,20.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,397,muslim,WPR,all_age,total,person,37.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,rural,male,79.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,rural,female,58.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,rural,person,68.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,urban,male,70.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,urban,female,37.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,urban,person,52.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,total,male,76.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,total,female,50.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,15plus,total,person,62.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,rural,male,57.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,rural,female,42.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,rural,person,49.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,urban,male,56.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,urban,female,30.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,urban,person,42.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,total,male,57.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,total,female,38.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,LFPR,all_age,total,person,47.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,rural,male,76.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,rural,female,55.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,rural,person,65.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,urban,male,66.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,urban,female,34.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,urban,person,49.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,total,male,73.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,total,female,47.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,15plus,total,person,59.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,rural,male,55.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,rural,female,40.7
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,rural,person,47.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,urban,male,53.4
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,urban,female,27.9
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,urban,person,40.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,total,male,54.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,total,female,36.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,398,christian,WPR,all_age,total,person,45.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,rural,male,80.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,rural,female,36.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,rural,person,58.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,urban,male,75.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,urban,female,23.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,urban,person,48.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,total,male,79.2
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,total,female,33.0
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,15plus,total,person,56.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,rural,male,61.8
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,rural,female,29.3
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,rural,person,46.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,urban,male,60.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,urban,female,19.1
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,urban,person,39.6
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,total,male,61.5
plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,ab4ead2cee181a13,plfs-table48-extract-v1.0.0-20260527T225257Z,48,399,sikh,LFPR,all_age,total,female,26.7
