round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2019-20,2019,jain,urban,all,608,44.60,43.20,3.14,39.50
2019-20,2019,jain,urban,female,304,17.91,16.28,9.13,55.21
2019-20,2019,jain,urban,male,304,70.57,69.39,1.66,35.92
2019-20,2019,muslim,all,all,41805,47.90,45.10,5.85,21.66
2019-20,2019,muslim,all,female,20747,18.45,17.09,7.37,17.41
2019-20,2019,muslim,all,male,21056,77.64,73.38,5.48,22.66
2019-20,2019,muslim,rural,all,20250,48.91,46.75,4.41,12.49
2019-20,2019,muslim,rural,female,9981,20.34,19.80,2.64,9.49
2019-20,2019,muslim,rural,male,10268,77.84,74.04,4.88,13.30
2019-20,2019,muslim,urban,all,21555,46.41,42.66,8.08,36.45
2019-20,2019,muslim,urban,female,10766,15.66,13.08,16.45,35.11
2019-20,2019,muslim,urban,male,10788,77.34,72.41,6.37,36.70
2019-20,2019,other,all,all,2422,56.11,53.04,5.48,24.04
2019-20,2019,other,all,female,1224,36.42,35.47,2.60,15.51
2019-20,2019,other,all,male,1198,77.20,71.85,6.93,28.56
2019-20,2019,other,rural,all,1406,58.43,55.43,5.13,17.79
2019-20,2019,other,rural,female,719,40.04,39.28,1.88,6.21
2019-20,2019,other,rural,male,687,78.33,72.90,6.93,24.55
2019-20,2019,other,urban,all,1016,49.97,46.69,6.55,43.72
2019-20,2019,other,urban,female,505,26.66,25.19,5.52,54.68
2019-20,2019,other,urban,male,511,74.26,69.11,6.94,39.56
2019-20,2019,sikh,all,all,7086,51.06,47.70,6.58,27.37
2019-20,2019,sikh,all,female,3429,24.72,23.32,5.66,36.61
2019-20,2019,sikh,all,male,3657,75.80,70.59,6.87,24.51
2019-20,2019,sikh,rural,all,4485,52.73,49.44,6.23,21.58
2019-20,2019,sikh,rural,female,2148,26.36,25.23,4.30,31.04
2019-20,2019,sikh,rural,male,2337,76.92,71.66,6.84,18.53
2019-20,2019,sikh,urban,all,2601,45.86,42.27,7.83,48.41
2019-20,2019,sikh,urban,female,1281,19.85,17.67,10.98,60.15
2019-20,2019,sikh,urban,male,1320,72.13,67.11,6.96,45.29
2020-21,2020,all,all,all,316736,54.89,52.58,4.21,21.21
2020-21,2020,all,all,female,156831,32.55,31.42,3.49,17.50
