source_id,source_document,source_sha256_prefix,extraction_run,table_name,state_code,area_name,residence,religion,age_group,measure,sex,value
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,Total,illiterate,persons,71791606
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,Total,illiterate,males,32126053
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,Total,illiterate,females,39665553
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,Total,literate,persons,66396634
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,Total,literate,males,39248081
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,Total,literate,females,27148553
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,0-6,total_population,persons,25893059
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,0-6,total_population,males,13279540
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,0-6,total_population,females,12613519
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,0-6,illiterate,persons,25893059
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,0-6,illiterate,males,13279540
census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,f321cba7ff4138da,census2001-c09-extract-v1.0.0-20260529T051455Z,C2909,00,INDIA,total,muslim,0-6,illiterate,females,12613519
