district_code,state,district,year,religion,value,source
IN-S08-D105,Rajasthan,Bharatpur,2011,muslim,14.569,census-india-2011
IN-S08-D106,Rajasthan,Dhaulpur,2011,muslim,5.989,census-india-2011
IN-S08-D107,Rajasthan,Karauli,2011,muslim,5.5925,census-india-2011
IN-S08-D108,Rajasthan,Sawai Madhopur,2011,muslim,11.6567,census-india-2011
IN-S08-D109,Rajasthan,Dausa,2011,muslim,2.7831,census-india-2011
IN-S08-D110,Rajasthan,Jaipur,2011,muslim,10.3748,census-india-2011
IN-S08-D111,Rajasthan,Sikar,2011,muslim,12.2354,census-india-2011
IN-S08-D112,Rajasthan,Nagaur,2011,muslim,13.7401,census-india-2011
IN-S08-D113,Rajasthan,Jodhpur,2011,muslim,11.1619,census-india-2011
IN-S08-D114,Rajasthan,Jaisalmer,2011,muslim,25.0969,census-india-2011
IN-S08-D115,Rajasthan,Barmer,2011,muslim,12.3357,census-india-2011
IN-S08-D116,Rajasthan,Jalor,2011,muslim,4.3194,census-india-2011
IN-S08-D117,Rajasthan,Sirohi,2011,muslim,2.941,census-india-2011
IN-S08-D118,Rajasthan,Pali,2011,muslim,7.0415,census-india-2011
IN-S08-D119,Rajasthan,Ajmer,2011,muslim,12.1623,census-india-2011
IN-S08-D120,Rajasthan,Tonk,2011,muslim,10.7749,census-india-2011
IN-S08-D121,Rajasthan,Bundi,2011,muslim,5.9959,census-india-2011
IN-S08-D122,Rajasthan,Bhilwara,2011,muslim,5.9135,census-india-2011
IN-S08-D123,Rajasthan,Rajsamand,2011,muslim,2.9117,census-india-2011
IN-S08-D124,Rajasthan,Dungarpur,2011,muslim,2.0642,census-india-2011
IN-S08-D125,Rajasthan,Banswara,2011,muslim,2.7168,census-india-2011
IN-S08-D126,Rajasthan,Chittaurgarh,2011,muslim,6.3364,census-india-2011
IN-S08-D127,Rajasthan,Kota,2011,muslim,12.506,census-india-2011
IN-S08-D128,Rajasthan,Baran,2011,muslim,6.5413,census-india-2011
IN-S08-D129,Rajasthan,Jhalawar,2011,muslim,6.8147,census-india-2011
IN-S08-D130,Rajasthan,Udaipur,2011,muslim,3.3994,census-india-2011
IN-S08-D131,Rajasthan,Pratapgarh,2011,muslim,2.9495,census-india-2011
IN-S09-D132,Uttar Pradesh,Saharanpur,2011,muslim,41.9473,census-india-2011
IN-S09-D133,Uttar Pradesh,Muzaffarnagar,2011,muslim,41.3044,census-india-2011
IN-S09-D134,Uttar Pradesh,Bijnor,2011,muslim,43.0446,census-india-2011
IN-S09-D135,Uttar Pradesh,Moradabad,2011,muslim,47.1163,census-india-2011
IN-S09-D136,Uttar Pradesh,Rampur,2011,muslim,50.5749,census-india-2011
IN-S09-D137,Uttar Pradesh,Jyotiba Phule Nagar,2011,muslim,40.776,census-india-2011
IN-S09-D138,Uttar Pradesh,Meerut,2011,muslim,34.4294,census-india-2011
IN-S09-D139,Uttar Pradesh,Baghpat,2011,muslim,27.9792,census-india-2011
IN-S09-D140,Uttar Pradesh,Ghaziabad,2011,muslim,25.3496,census-india-2011
IN-S09-D141,Uttar Pradesh,Gautam Buddha Nagar,2011,muslim,13.0755,census-india-2011
IN-S09-D142,Uttar Pradesh,Bulandshahr,2011,muslim,22.2169,census-india-2011
IN-S09-D143,Uttar Pradesh,Aligarh,2011,muslim,19.8504,census-india-2011
IN-S09-D144,Uttar Pradesh,Mahamaya Nagar,2011,muslim,10.1903,census-india-2011
IN-S09-D145,Uttar Pradesh,Mathura,2011,muslim,8.5166,census-india-2011
IN-S09-D146,Uttar Pradesh,Agra,2011,muslim,9.3083,census-india-2011
IN-S09-D147,Uttar Pradesh,Firozabad,2011,muslim,12.6018,census-india-2011
IN-S09-D148,Uttar Pradesh,Mainpuri,2011,muslim,5.3905,census-india-2011
IN-S09-D149,Uttar Pradesh,Budaun,2011,muslim,21.4703,census-india-2011
IN-S09-D150,Uttar Pradesh,Bareilly,2011,muslim,34.5416,census-india-2011
IN-S09-D151,Uttar Pradesh,Pilibhit,2011,muslim,24.1105,census-india-2011
IN-S09-D152,Uttar Pradesh,Shahjahanpur,2011,muslim,17.5478,census-india-2011
IN-S09-D153,Uttar Pradesh,Kheri,2011,muslim,20.0833,census-india-2011
IN-S09-D154,Uttar Pradesh,Sitapur,2011,muslim,19.9315,census-india-2011
IN-S09-D155,Uttar Pradesh,Hardoi,2011,muslim,13.59,census-india-2011
IN-S09-D156,Uttar Pradesh,Unnao,2011,muslim,11.6927,census-india-2011
IN-S09-D157,Uttar Pradesh,Lucknow,2011,muslim,21.462,census-india-2011
IN-S09-D158,Uttar Pradesh,Rae Bareli,2011,muslim,12.1344,census-india-2011
IN-S09-D159,Uttar Pradesh,Farrukhabad,2011,muslim,14.6852,census-india-2011
IN-S09-D160,Uttar Pradesh,Kannauj,2011,muslim,16.5377,census-india-2011
IN-S09-D161,Uttar Pradesh,Etawah,2011,muslim,7.2045,census-india-2011
IN-S09-D162,Uttar Pradesh,Auraiya,2011,muslim,7.3911,census-india-2011
IN-S09-D163,Uttar Pradesh,Kanpur Dehat,2011,muslim,9.8168,census-india-2011
IN-S09-D164,Uttar Pradesh,Kanpur Nagar,2011,muslim,15.7306,census-india-2011
IN-S09-D165,Uttar Pradesh,Jalaun,2011,muslim,10.1529,census-india-2011
IN-S09-D166,Uttar Pradesh,Jhansi,2011,muslim,7.3973,census-india-2011
IN-S09-D167,Uttar Pradesh,Lalitpur,2011,muslim,2.7607,census-india-2011
IN-S09-D168,Uttar Pradesh,Hamirpur,2011,muslim,8.265,census-india-2011
IN-S09-D169,Uttar Pradesh,Mahoba,2011,muslim,6.559,census-india-2011
